"rank","global_rank","so_answer_id"
320,1094,"31996826"
321,1095,"30024286"
322,1110,"24910935"
323,1127,"5404251"
324,1128,"5404170"
325,1129,"28191185"
326,1130,"28852372"
327,1141,"5163852"
328,1143,"48000907"
329,1144,"1770278"
330,1149,"509230"
331,1150,"3931798"
332,1160,"36623215"
333,1181,"18638742"
334,1182,"7951726"
335,1183,"7951721"
336,1185,"3844643"
337,1187,"3844602"
338,1188,"42660163"
339,1189,"17217395"
340,1190,"33536963"
341,1191,"14526313"
342,1192,"24931281"
343,1193,"14526362"
344,1195,"40154052"
345,1208,"16754300"
346,1214,"9095839"
347,1215,"6979216"
348,1216,"7012195"
349,1222,"20229254"
350,1235,"1234518"
351,1236,"1234762"
352,1237,"1234532"
353,1250,"11785265"
354,1251,"11785220"
355,1252,"27964805"
356,1265,"35150400"
357,1275,"34047753"
358,1290,"24437828"
359,1291,"40091297"
360,1296,"999199"
361,1297,"33060590"
362,1300,"26935875"
363,1306,"5061736"
364,1307,"7191039"
365,1317,"18981016"
366,1318,"3559084"
367,1320,"3559079"
368,1321,"31660211"
369,1322,"2670980"
370,1324,"30379820"
371,1327,"30386004"
372,1333,"5270292"
373,1334,"38002671"
374,1335,"47879419"
375,1339,"15633290"
376,1340,"36444332"
377,1341,"15633273"
378,1342,"15633284"
379,1344,"15633289"
380,1345,"15633674"
381,1351,"21231121"
382,1354,"28856660"
383,1365,"16265805"
384,1368,"8423761"
385,1379,"16714929"
386,1398,"18449125"
387,1402,"6745127"
388,1405,"2697225"
389,1407,"2697230"
390,1411,"5725949"
391,1413,"4496452"
392,1415,"25282857"
393,1416,"36189491"
394,1427,"11496730"
395,1439,"4862123"
396,1450,"21072852"
397,1456,"3144630"
398,1457,"3147081"
399,1459,"3144617"
400,1460,"32560055"
401,1464,"36708162"
402,1465,"4439615"
403,1475,"7775373"
404,1478,"48793340"
405,1479,"3904607"
406,1481,"26768694"
407,1482,"37618656"
408,1486,"24232037"
409,1490,"5204076"
410,1505,"16278800"
411,1506,"23512457"
412,1507,"30216906"
413,1508,"12643259"
414,1509,"1149859"
415,1510,"6505480"
416,1512,"11895239"
417,1513,"5492113"
418,1514,"5706582"
419,1517,"11102423"
420,1524,"41615307"
421,1530,"740306"
422,1532,"24048565"
423,1535,"2451660"
424,1536,"47736617"
425,1537,"44637604"
426,1538,"2451667"
427,1539,"2451657"
428,1547,"1073933"
429,1549,"23548085"
430,1550,"47071040"
431,1562,"7347999"
432,1578,"25379180"
433,1580,"12984575"
434,1581,"6055528"
435,1582,"975075"
436,1583,"321558"
437,1584,"321563"
438,1590,"25148131"
439,1611,"30849160"
440,1612,"11286568"
441,1618,"42729024"
442,1625,"25161321"
443,1635,"2920562"
444,1637,"39034619"
445,1658,"4626844"
446,1659,"4626828"
447,1660,"22239188"
448,1664,"23774668"
449,1665,"2536920"
450,1672,"3549231"
451,1679,"656276"
452,1694,"14897094"
453,1695,"28350991"
454,1701,"12715375"
455,1702,"12715354"
456,1703,"12715931"
457,1721,"12558329"
458,1723,"12558344"
459,1724,"2033732"
460,1739,"24182811"
461,1762,"11417382"
462,1764,"3914546"
463,1787,"50543"
464,1788,"25929742"
465,1789,"50544"
466,1790,"24501156"
467,1803,"14085724"
468,1804,"2198914"
469,1805,"16348514"
470,1810,"2895359"
471,1818,"20932122"
472,1831,"8262728"
473,1832,"7952126"
474,1840,"6663675"
475,1849,"19552526"
476,1851,"43193051"
477,1853,"21596413"
478,1854,"7393539"
479,1856,"3110563"
480,1858,"4781111"
481,1866,"576870"
482,1867,"576863"
483,1868,"27209015"
484,1891,"43065003"
485,1893,"2932439"
486,1896,"21750152"
487,1897,"10393817"
488,1898,"15132826"
489,1906,"31464949"
490,1910,"42347500"
491,1912,"4052040"
492,1916,"31624177"
493,1917,"40306146"
494,1918,"41024966"
495,1934,"6974800"
496,1936,"3726858"
497,1955,"258102"
498,1974,"7870722"
499,1975,"74742"
500,1976,"15039537"
501,1978,"2361108"
502,1979,"15948188"
503,1980,"3243779"
504,1982,"20067178"
505,1983,"5307163"
506,1985,"1509487"
507,1986,"11340915"
508,1987,"1509504"
509,1994,"38800084"
510,1996,"34409184"
511,2011,"25307973"
512,2013,"16098086"
513,2022,"49345164"
514,2023,"886802"
515,2028,"18715501"
516,2033,"689377"
